"id","lifetime_days"
7886,779
21430,15.052
8325,273
25922,150.61
31314,187
30879,1077
24619,45
26090,531
14079,37.863
23485,689
18135,232
16616,546
4070,50
13494,1425
11786,1535
20391,920
21286,357
29409,18.196
13810,1305
13292,429
19163,118
14754,1507
20680,279
28410,12.843
10727,600
26023,146.176
21143,369
6800,10.1
25501,668
26744,374
11496,793
18961,5.717
30725,52.16
15468,432
2721,62.025
20264,76.285
28547,147
27596,152.876
29263,321
4656,154
2548,2275
9747,150.042
2521,200
10241,234
3700,908
17306,1129
10806,579
11467,138.187
33182,7.505
19917,5
30941,203
10782,56.488
31516,142.886
33287,18.423
16027,28.572
4631,165
13228,1252
17473,189
27554,98.716
11338,464
29324,173.494
13401,504
19081,136.91
9831,146
26383,28.228
17952,137.107
26865,336
26081,11.084
28620,8.564
30152,268
30274,16.822
11594,83.494
15271,1030
16235,60.687
8097,35
24662,105.232
14733,203
9726,292
15637,1252
16802,8.063
5340,534
32832,82.509
4209,353
16172,206
15065,826
15889,1272
33227,66.526
17786,1138
22293,220
8686,1090
20845,185
16827,933
9426,1508
27965,39.635
20036,391
17634,142.892
14366,214
20930,179.798
8538,1769
22244,771
26233,509
34792,189
13252,724
23340,1090
20382,748
33848,11.233
27145,48.849
20247,662
18922,189
27440,38.064
3888,97.753
4318,647
2582,665
11360,1151
12860,152
9343,572
6680,351
17651,35.99
34029,38.107
27034,43.972
26226,361
31593,167.422
7758,22.06
22829,363
2577,183
30173,256
16446,1223
17614,168
24238,641
30206,266
17839,140
14692,1288
4230,848
26782,469
9733,1671
33004,64.041
18527,622
28229,207
17066,834
18700,887
12881,1466
7267,102.325
27373,142.899
17584,251
4178,2111
29274,26.502
30714,192
12022,82.428
16422,1012.984
28344,160.715
10007,153
22679,730
22130,162.211
5883,1334
15656,217
16995,20
23679,24.009
5165,37.293
24472,310
708,163.042
26845,0.037
32251,121.822
15133,407
20288,694
27289,59.275
27317,144.641
33759,48.297
20627,382
9092,1176
11516,770
14387,220
10461,42
7001,1001
16409,773
26387,153
4372,0.145
11420,86
13419,19.914
12279,106
25467,55.406
28900,9.143
2993,75.071
14631,2.552
612,75
4287,1069
30957,215
3339,2184
22673,435
18813,73
18974,220
30237,105.815
12676,1419
20575,221
12933,185
24701,82.214
26362,469
28274,327
3166,596
19834,914
20895,884
7108,1841
9537,256
7641,77.649
31892,147.995
27004,346
18709,1033
27136,416
8873,57
24888,422
10317,110.411
18948,567
18699,471
29176,23.569
27993,88.781
784,277
29150,52.014
2780,561
28485,88.702
29690,211
7217,11
27473,233
9082,1188
20274,932
30084,44.978
23617,77
15655,300
9751,540
16511,1012
7296,314
2530,870
28136,387
18385,68.162
8960,450
21231,119.179
19774,115.927
12783,227
16285,1250
15287,1316
7283,1079
12651,1359
18257,6.775
24638,165.763
30374,93.962
23884,38.028
11334,1578
28268,28.49
4981,9.853
24866,17.931
15106,1315
27535,284
9665,284
30176,31.448
22755,643
23225,160.662
17983,69
12013,254
21283,569
14539,29.318
4275,652
27614,30
27207,453
3335,2022
23719,35.965
2595,2272
26593,496
27159,416
18208,747
17953,593
32205,131.991
34098,9.91
18903,148.935
12536,231
28145,394
9554,648
20242,877
27749,113.108
24385,522
2416,763
15686,1282
18279,1083
8251,210
18685,624
25681,76.119
22310,175.196
10282,42.573
13834,311
4760,609
30919,219
10469,1637
12187,355
22801,608
30857,23.358
12845,147
31203,203
19127,189
23476,177
27183,377
33602,20.978
23465,613
7121,0.599
16950,29.964
26184,85.177
21401,564
8715,1768
11269,194
23601,667
29094,12.427
34710,516
7100,1284
29475,35
22684,20.563
12820,376
26194,446
27875,17.531
22022,100.693
21986,52
2672,675
15157,1323
9555,11.869
14912,662
30320,261
20128,251
4276,812
9332,74.76
13364,1442
3720,83
2549,1880
5104,299
30614,85.629
24010,545
17463,43
17253,1115
32187,134.06
13016,1065
3779,2035
13212,191
26872,251
12985,34.43
27481,105
28561,41.793
27157,419
18666,52.898
393,2564
19405,30.188
31478,149.972
8874,331
11372,63.477
21016,437
3533,610
11250,1360
24766,24.251
15727,567
18951,642
32085,111.121
2224,788
25436,533
21480,39.028
11663,1556
8423,1770
4022,2068
25381,100.203
12079,153
14469,425
22651,217
15728,411
25551,195
5993,746
28807,350
7285,13
19157,886
19540,849
28985,0.227
31696,27.773
23267,684
19337,734
18958,188
22905,733
10373,1423
28515,73.078
22044,72.914
22221,784
24761,616
11732,1553
3581,2144
28306,204
528,210
20415,783
9376,29
23076,323
25374,289
14670,71.49
17171,88.734
26587,500
28537,302
32486,28.152
23419,249
18752,0.957
17552,266
17160,654
28487,58.144
16987,25.316
31707,20.948
2361,17
21679,242
33161,59.167
34451,25.027
29727,181.918
11275,1091
14727,1101
3004,2161
16121,825
11102,30
30311,257
24509,550
9186,177.042
14448,23.118
25246,148.241
29117,316
24427,636
32606,98.476
14961,31.135
2746,747
16359,265
10319,856
11071,95
9340,1722
27191,69.593
31295,144.106
26884,310
23001,425
31834,131.061
21425,436
5111,815
31683,60.501
16614,876
32911,79.959
31589,391
24987,363
9869,1047
24019,648
5162,1979
15574,924
8531,1770
26290,502
6596,554
12054,182
23338,659
17485,284
3146,105
33512,37.3
27351,393
23026,626
13255,28.693
20981,373
9712,9
32029,118.905
3030,64.958
27028,158.307
28757,336
21927,419
33257,58.028
27955,407
13369,377
11560,24
11415,675
3820,563
18868,98.986
10240,371
20115,904
13493,593
21177,137.289
23145,152.335
32544,56.876
18116,1014
33443,59.613
