"community_id","ideas_inter","votes_inter","comments_inter","tot_inter"
"7886",0,0,17,17
"8325",55,8,2,65
"25922",0,0,0,0
"30879",29,76,90,195
"24619",0,0,0,0
"26090",53,66,31,150
"14079",0,0,0,0
"23485",0,0,12,12
"18135",18,14,26,58
"16616",35,0,5,40
"4070",0,0,0,0
"13494",6,15,62,83
"11786",44,166,125,335
"20391",5,12,11,28
"21286",11,12,3,26
"29409",43,5,1,49
"13810",0,0,0,0
"13292",131,66,0,197
"19163",19,23,0,42
"14754",0,1,8,9
"20680",13,0,0,13
"10727",11,5,5,21
"26023",3,11,3,17
"21143",0,0,0,0
"25501",23,16,63,102
"26744",392,90,774,1256
"11496",5,10,18,33
"13542",6,3,4,13
"30725",49,21,2,72
"15468",1,2,22,25
"20264",2,2,0,4
"27596",8,0,0,8
"29263",3,34,8,45
"4656",9,0,0,9
"2548",91,936,215,1242
"9747",7,0,0,7
"2521",52,2,50,104
"10241",1,1,2,4
"3700",3,5,3,11
"17306",41,54,153,248
"10806",4,13,0,17
"11467",36,25,5,66
"19917",0,0,0,0
"10782",3,1,0,4
"31516",13,1,1,15
"24523",24,12,4,40
"16027",1,3,0,4
"4631",4,6,2,12
"13228",4,2,2,8
"17473",5,7,1,13
"27554",0,0,0,0
"11338",1,0,1,2
"29324",0,0,0,0
"13401",0,0,0,0
"19081",2,70,5,77
"9831",14,0,0,14
"26383",1,5,0,6
"17952",68,94,54,216
"26865",0,0,0,0
"26081",21,1,1,23
"30152",0,0,25,25
"11594",8,0,0,8
"15271",18,0,11,29
"16235",3,10,6,19
"24662",120,3,4,127
"14733",11,12,23,46
"9726",2,15,3,20
"15637",3,62,0,65
"5340",2,17,1,20
"32832",43,0,0,43
"16172",1,0,0,1
"15065",33,29,72,134
"15889",28,8,286,322
"33227",2,0,1,3
"17786",12,4,2,18
"22293",2,0,4,6
"8686",26,8,1,35
"20845",97,45,2,144
"16827",11,46,4,61
"9426",1,3,55,59
"27965",0,1,3,4
"2538",4,9,0,13
"17634",11,2,1,14
"14366",19,10,5,34
"20930",6,1,1,8
"8538",45,152,82,279
"22244",5,6,126,137
"26233",0,0,80,80
"13252",0,0,0,0
"23340",0,0,11,11
"20382",2,14,26,42
"33848",1,1,0,2
"27145",35,0,296,331
"20247",2,2,0,4
"18922",1,25,0,26
"27440",5,16,1,22
"3888",0,0,0,0
"4318",40,25,13,78
"2582",1,7,11,19
"11360",6,24,66,96
"12860",2,2,10,14
"9343",0,0,3,3
"6680",0,0,0,0
"17651",19,0,10,29
"34029",14,9,1,24
"26226",1,0,0,1
"31593",10,0,31,41
"7758",33,19,5,57
"22829",1,0,0,1
"2577",13,0,5,18
"16446",1,1,6,8
"17614",1,9,4,14
"24238",4,0,6,10
"30206",5,0,4,9
"17839",16,20,25,61
"14692",0,0,11,11
"4230",9,0,2,11
"26782",1,26,3,30
"9733",6,1,51,58
"33004",3,7,2,12
"18527",0,0,0,0
"28229",5,12,8,25
"17066",8,3,4,15
"18700",2,2,2,6
"12881",4,11,10,25
"7267",0,0,1,1
"27373",25,22,2,49
"17584",33,1,6,40
"29274",1,18,0,19
"12022",17,13,2,32
"16422",0,1,6,7
"28344",6,31,0,37
"10007",12,19,7,38
"22679",874,450,39,1363
"22130",33,17,5,55
"5883",2,3,2,7
"15656",5,0,0,5
"24472",48,7,18,73
"708",0,0,0,0
"32251",16,16,9,41
"15133",5,24,24,53
"20288",33,18,9,60
"27289",0,0,0,0
"27317",1,5,0,6
"33759",3,11,5,19
"20627",0,21,4,25
"9092",0,0,4,4
"11516",25,32,11,68
"14387",0,0,2,2
"7001",0,0,0,0
"16409",0,0,0,0
"26387",1,1,0,2
"11420",0,0,0,0
"12279",58,1,1,60
"14631",64,9,0,73
"612",2,5,9,16
"4287",0,0,0,0
"30957",2,10,2,14
"3339",17,41,65,123
"22673",25,0,1,26
"18813",14,20,12,46
"18974",2,18,1,21
"12676",5,27,72,104
"12933",6,5,4,15
"24701",0,0,0,0
"26362",11,27,19,57
"3166",1,0,0,1
"19834",0,0,0,0
"20895",14,62,109,185
"7108",26,19,23,68
"9537",11,6,9,26
"31892",0,0,0,0
"27004",1,11,4,16
"18709",15,21,17,53
"27136",13,22,6,41
"8873",2,10,3,15
"24888",1,4,0,5
"10317",17,3,16,36
"18948",11,14,2,27
"18699",2,68,2,72
"784",13,24,4,41
"29150",91,0,5,96
"28485",27,0,0,27
"29690",0,0,0,0
"9082",3,0,1,4
"20274",0,0,3,3
"25813",9,3,0,12
"30084",9,0,0,9
"23617",16,20,1,37
"15655",0,0,0,0
"9751",3,8,27,38
"16511",0,0,0,0
"7296",6,0,0,6
"2530",0,0,0,0
"28136",0,7,15,22
"18385",32,9,0,41
"8960",12,1,24,37
"21231",0,0,0,0
"19774",15,25,9,49
"12783",14,7,16,37
"16285",24,63,73,160
"7283",0,0,7,7
"12651",1,19,10,30
"24638",12,2,1,15
"30374",17,10,2,29
"23884",40,19,5,64
"11334",23,20,19,62
"24866",12,27,3,42
"15106",0,0,0,0
"27535",5,30,8,43
"9665",0,0,0,0
"22755",0,0,0,0
"23225",14,1,0,15
"17983",3,14,15,32
"12013",2,0,1,3
"21283",6,1,30,37
"4275",0,0,2,2
"27614",2,19,1,22
"27207",2,29,5,36
"3335",0,0,0,0
"23719",1,0,0,1
"2595",128,752,152,1032
"26593",6,1,39,46
"27159",66,65,0,131
"18208",0,0,0,0
"17953",0,0,0,0
"32205",0,0,0,0
"18903",3,10,14,27
"28145",0,18,162,180
"9554",2,15,12,29
"20242",0,0,0,0
"24385",5,23,5,33
"2416",39,38,22,99
"15686",11,66,2,79
"18279",5,6,1,12
"8251",23,1,1,25
"18685",19,0,0,19
"25681",0,0,0,0
"22310",7,0,0,7
"10282",7,1,1,9
"13834",145,4,173,322
"4760",21,5,13,39
"30919",0,0,0,0
"10469",80,129,18,227
"12187",0,0,0,0
"22801",2,0,1,3
"30857",20,0,0,20
"12845",1,0,3,4
"19127",51,23,17,91
"23476",16,29,75,120
"27183",14,58,4,76
"33602",5,3,0,8
"23465",22,4,27,53
"26184",0,0,1,1
"21401",2,10,3,15
"8715",3,1,52,56
"11269",39,3,9,51
"23601",0,1,19,20
"29094",0,0,4,4
"34710",0,0,0,0
"7100",0,0,0,0
"12820",12,3,0,15
"26194",1,0,1,2
"10495",19,13,4,36
"22022",40,0,0,40
"21986",4,17,2,23
"2672",1,16,4,21
"15157",8,2,95,105
"9555",0,0,0,0
"14912",0,0,0,0
"20128",4,3,1,8
"4276",2,1,0,3
"9332",0,0,6,6
"13364",2,6,76,84
"3720",20,32,9,61
"2549",5,30,39,74
"5104",0,0,0,0
"30614",23,4,5,32
"24010",0,0,0,0
"17463",1,13,7,21
"17253",0,0,0,0
"32187",3,9,10,22
"13016",4,1,8,13
"3779",28,41,94,163
"13212",19,0,0,19
"26872",7,27,7,41
"12985",1,0,0,1
"27481",21,25,17,63
"28561",0,0,0,0
"27157",5,3,0,8
"393",4,77,35,116
"8874",2,0,1,3
"11372",2,2,0,4
"21016",0,0,0,0
"3533",0,0,7,7
"11250",65,27,1,93
"24766",0,0,0,0
"15727",73,100,42,215
"18951",11,2,10,23
"32085",8,8,13,29
"2224",0,0,0,0
"25436",2,17,24,43
"11663",2,11,47,60
"8423",2,2,19,23
"4022",3,7,10,20
"25381",5,8,1,14
"12079",15,29,2,46
"14469",0,0,0,0
"25551",8,71,26,105
"5993",0,0,0,0
"28807",321,0,1,322
"19157",0,1,34,35
"19540",0,0,0,0
"31696",2,0,0,2
"23267",2,0,16,18
"19337",7,12,17,36
"18958",0,0,0,0
"22905",0,0,218,218
"10373",42,79,118,239
"28515",1,3,1,5
"22044",0,0,0,0
"22221",1,0,15,16
"24761",13,12,4,29
"11732",1,2,42,45
"3581",132,202,165,499
"28306",0,0,0,0
"528",0,0,0,0
"20415",19,22,38,79
"9376",42,44,1,87
"23076",2,12,11,25
"25374",0,0,0,0
"14670",6,15,1,22
"17171",1,1,0,2
"26587",8,84,19,111
"28537",4,34,10,48
"32486",0,0,0,0
"23419",6,16,0,22
"17552",0,0,0,0
"17160",7,13,58,78
"8188",8,15,8,31
"28487",2,1,0,3
"16987",15,7,5,27
"31707",1,0,0,1
"21679",253,70,185,508
"33161",94,77,256,427
"34451",26,220,11,257
"29727",1,4,2,7
"11275",32,42,30,104
"14727",0,0,0,0
"3004",4,5,1,10
"16121",1,0,3,4
"11102",2,2,0,4
"30311",0,1,0,1
"24509",1,2,15,18
"9186",0,0,0,0
"14448",5,0,0,5
"25246",11,0,0,11
"29117",15,23,7,45
"24427",16,61,97,174
"32606",0,0,0,0
"14961",3,3,0,6
"2746",0,11,66,77
"16359",3,2,0,5
"10319",0,0,4,4
"11071",0,0,0,0
"9340",1,3,23,27
"27191",1,4,4,9
"31295",39,12,2,53
"26884",174,1,6,181
"21425",30,17,7,54
"5111",0,0,0,0
"16614",29,12,20,61
"6408",0,0,1,1
"32911",0,0,0,0
"9869",4,0,2,6
"24019",29,4,35,68
"5162",0,5,30,35
"15574",27,0,4,31
"8531",2,0,12,14
"26290",1,0,5,6
"23338",8,0,6,14
"17485",0,0,0,0
"3146",6,8,5,19
"27351",5,22,5,32
"23026",5,0,1,6
"13255",0,0,0,0
"20981",4,3,2,9
"32029",1,5,0,6
"3030",1,1,9,11
"27028",2,0,0,2
"28757",0,0,0,0
"21927",8,1,0,9
"33257",5,0,0,5
"27955",2,18,8,28
"13369",2,1,16,19
"11560",0,0,0,0
"11415",4,4,3,11
"3820",4,10,0,14
"10240",0,0,0,0
"20115",17,45,2,64
"21177",0,0,72,72
